"material_id","status","location"
"1888","4","5364"
"1516","1","599"
"7484","1","2639"
"5204","2","9635"
"2554","1","311"
"8308","2","673"
"1653","3","44818"
"5129","5","540"
"7515","5","7309"
"1912","1","523"
"5565","1","7371"
"8556","4","75521"
"1191","2","807"
"5005","5","17072"
"6331","3","672"
"5586","2","90124"
"5375","1","744"
"8209","1","21361"
"7092","4","77034"
"930","5","538"
"5258","4","144"
"2733","3","613"
"3180","2","99725"
"1750","5","2414"
"9654","4","8493"
"4653","4","60616"
"3632","2","9566"
"1302","3","4163"
"981","3","2148"
"9827","3","4070"
"9059","1","891"
"7054","5","5014"
"7866","5","9297"
"5278","5","5534"
"9415","2","67858"
"8319","1","4199"
"868","2","70772"
"7582","3","4801"
"9370","2","1346"
"6471","2","886"
"6928","1","28395"
"9382","5","939"
"4643","5","6595"
"6855","3","5821"
"3370","4","2926"
"6209","2","3279"
"9060","1","79485"
"808","4","21005"
"8133","1","874"
"8755","5","2682"
"7389","4","285"
"164","5","56384"
"5343","4","150"
"1480","2","9581"
"1624","5","80094"
"816","3","55220"
"5994","3","101"
"7293","4","752"
"9357","2","645"
"2139","2","55119"
"4534","4","7430"
"576","3","131"
"6932","3","379"
"1448","2","7786"
"7569","2","11756"
"7349","4","9764"
"1803","4","718"
"330","4","534"
"2727","3","709"
"1305","5","21947"
"8921","3","423"
"4436","4","59587"
"7802","1","78331"
"6490","3","96686"
"7739","2","3886"
"6115","4","332"
"849","4","404"
"8714","1","8608"
"8060","2","99054"
"497","5","7146"
"6654","1","5811"
"1621","4","746"
"6474","5","641"
"823","3","5502"
"292","4","3369"
"3495","2","604"
"3251","3","6643"
"9023","2","3115"
"9060","5","778"
"295","2","8214"
"4317","1","77479"
"7463","2","2907"
"6621","1","2387"
"4017","2","2612"
"5690","3","649"
"7869","5","7796"
"841","4","1141"
"56","1","26678"
"7419","5","7511"
"9712","2","2741"
"2022","5","1267"
"4421","2","16852"
"8322","4","842"
"6438","1","207"
"5434","2","76377"
"9744","3","1817"
"6897","1","7395"
"7438","3","6022"
"3612","2","424"
"3208","4","283"
"7949","5","155"
"7934","5","79231"
"6300","5","116"
"1007","1","368"
"2870","1","5046"
"5479","5","4152"
"8653","5","218"
"9966","1","59028"
"2326","1","1804"
"4187","4","2532"
"3728","4","770"
"8526","4","8784"
"1279","2","39627"
"8521","4","94604"
"6944","5","4534"
"8473","3","9509"
"8520","2","7441"
"6400","4","809"
"2733","3","221"
"54","5","860"
"9512","5","400"
"1490","2","32863"
"7852","2","908"
"9862","3","721"
"9043","3","38886"
"2946","5","62622"
"8619","1","1507"
"340","5","65718"
"2472","1","22832"
"7481","1","843"
"2056","5","317"
"5495","1","3166"
"4712","2","201"
"2073","1","505"
"6168","2","5637"
"6721","1","3178"
"3314","4","33405"
"5106","5","71650"
"9860","1","4153"
"7119","5","68320"
"2393","1","1255"
"6478","5","8714"
"5292","2","1465"
"3669","4","65304"
"5320","3","164"
"3248","1","5076"
"6077","2","51649"
"8135","3","690"
"8057","2","54951"
"4624","2","7075"
"7479","5","16538"
"737","4","712"
"187","1","118"
"6692","4","51697"
"1943","1","4839"
"6979","4","5682"
"8179","1","6082"
"2660","2","302"
"6156","1","25136"
"1569","5","695"
"2774","2","996"
"8926","4","140"
"2675","4","7029"
"5464","2","29842"
"9954","4","603"
"5243","2","52922"
"3190","3","265"
"3969","3","683"
"3746","3","3167"
"3324","5","984"
"8248","2","19665"
"3751","1","2041"
"8141","1","15745"
"5897","3","7828"
"5193","2","12101"
"1949","1","951"
"5878","2","156"
"5610","1","676"
"9928","2","22228"
"6886","4","7390"
"7949","5","29168"
"8717","2","3710"
"8613","5","8334"
"4334","1","1324"
"8692","2","556"
"4044","5","7002"
"1114","5","785"
"6637","2","55647"
"3024","3","899"
"1583","1","45390"
"442","1","233"
"3975","3","873"
"3545","4","3571"
"1411","5","98968"
"6499","1","7138"
"8135","3","547"
"820","5","11901"
"6815","3","56495"
"5846","3","6330"
"2078","5","690"
"6978","1","1352"
"3947","1","8484"
"856","3","3275"
"9710","1","6317"
"9262","2","9829"
"913","2","45881"
"599","4","956"
"3780","5","62970"
"1137","1","797"
"1654","4","29992"
"5956","4","87984"
"8038","3","22058"
"2647","5","84215"
"6799","3","33482"
"103","4","544"
"7373","4","94693"
"272","3","664"
"8070","5","167"
"9207","4","5783"
"5121","5","38911"
"1823","4","487"
"3844","2","3850"
"7139","5","59716"
"1752","4","459"
"7340","5","9002"
"8941","4","713"
"2536","2","385"
"3367","2","505"
"7196","2","1150"
"4009","1","84238"
"204","3","405"
"1270","3","319"
"7407","2","2289"
"7460","2","3070"
"5309","3","5567"
"6460","4","42506"
"4668","4","944"
"1790","4","35086"
"1203","3","982"
"4136","2","113"
"7060","2","897"
"9654","1","812"
"5187","3","8258"
"5835","5","69638"
"5513","1","28504"
"8614","2","4390"
"9963","2","35723"
"3183","4","7439"
"31","5","70672"
"7340","5","22993"
"6130","1","81941"
"5359","2","4195"
"1393","5","532"
"3372","5","428"
"3950","3","219"
"4911","1","1587"
"4315","1","72263"
"7422","5","670"
"8122","4","3081"
"4276","4","1537"
"6043","1","52320"
"6804","3","649"
"4424","1","9507"
"9735","1","94711"
"4395","1","83330"
"6579","4","76877"
"7643","5","8264"
"7685","5","11414"
"7060","4","478"
"3358","4","66446"
"2460","5","35789"
"9934","3","26694"
"4735","5","1160"
"2767","3","40576"
"8149","1","2167"
"7238","2","20359"
"9755","4","288"
"890","5","45026"
"9901","4","163"
"4176","4","90668"
"2375","2","68917"
"5707","4","5310"
"5880","5","62700"
"6866","1","15849"
"7331","5","70047"
"8717","3","7318"
"533","1","3080"
"2587","4","61532"
"9900","5","63294"
"9574","5","294"
"2926","5","47963"
"2469","5","600"
"4662","2","116"
"7715","3","3163"
"2837","3","2129"
"7602","3","8410"
"8545","3","23329"
"7694","3","453"
"4976","2","324"
"4920","5","29178"
"3042","4","251"
"1142","4","1895"
"5231","3","1046"
"2874","2","933"
"4489","3","9126"
"4844","3","66556"
"8342","5","19690"
"8238","4","34723"
"3278","1","2766"
