"staff","copy_id","date","super"
"115","1","02 01 2024","Kreiger, Harber and Langosh"
"391","2","02 01 2024","Terry, Roberts and Kozey"
"281","3","02 01 2024","Gusikowski Inc"
"217","4","02 01 2024","Crona Group"
"196","5","02 01 2024","Labadie - Sipes"
"39","6","02 01 2024","Lueilwitz Inc"
"355","7","02 01 2024","Stanton LLC"
"409","8","02 01 2024","Mosciski Group"
"319","9","02 01 2024","Mitchell, Jenkins and Altenwerth"
"400","10","02 01 2024","Jaskolski and Sons"
"158","11","02 01 2024","Walsh, O'Kon and Stanton"
"50","12","02 01 2024","Wunsch, Bayer and Okuneva"
"51","13","02 01 2024","Brekke LLC"
"318","14","02 01 2024","McGlynn and Sons"
"145","15","02 01 2024","Feil, Gleason and Torphy"
"37","16","02 01 2024","Daugherty - Okuneva"
"454","17","02 01 2024","O'Keefe - Douglas"
"457","18","02 01 2024","Bauch, Bartell and Bauch"
"6","19","02 01 2024","Sanford - Nikolaus"
"315","20","02 01 2024","Douglas - Cruickshank"
"458","21","02 01 2024","Hodkiewicz Inc"
"467","22","02 01 2024","Balistreri - Von"
"344","23","02 01 2024","Batz, Torphy and Rice"
"445","24","02 01 2024","Gorczany - Monahan"
"444","25","02 01 2024","Fadel - Konopelski"
"327","26","02 01 2024","Wiza - Bogan"
"355","27","02 01 2024","Boyer - Dickens"
"306","28","02 01 2024","Schamberger - Ullrich"
"357","29","02 01 2024","Sanford LLC"
"1","30","02 01 2024","Ullrich, Leuschke and Ernser"
"130","31","02 01 2024","Graham - Kessler"
"91","32","02 01 2024","Hudson, Nitzsche and Collins"
"306","33","02 01 2024","Littel, Jacobs and Mueller"
"143","34","02 01 2024","Prosacco Group"
"482","35","02 01 2024","White Inc"
"435","36","02 01 2024","Ziemann, Raynor and Maggio"
"231","37","02 01 2024","Botsford LLC"
"107","38","02 01 2024","McCullough - Parisian"
"223","39","02 01 2024","Keeling - Hermann"
"216","40","02 01 2024","Yost, Emard and Greenholt"
"333","41","02 01 2024","Bayer Group"
"270","42","02 01 2024","Lebsack LLC"
"340","43","02 01 2024","Rice Group"
"448","44","02 01 2024","Doyle, Cronin and Doyle"
"197","45","02 01 2024","Sporer Inc"
"178","46","02 01 2024","Herman and Sons"
"34","47","02 01 2024","Leffler Inc"
"100","48","02 01 2024","Oberbrunner, Greenfelder and Cummings"
"90","49","02 01 2024","Larkin, Upton and Hirthe"
"339","50","02 01 2024","Weber Group"
"394","51","02 01 2024","McLaughlin, Bosco and Lakin"
"265","52","02 01 2024","Maggio - Wolf"
"496","53","02 01 2024","Bosco LLC"
"203","54","02 01 2024","Heathcote - Lesch"
"376","55","02 01 2024","Murphy - Corwin"
"304","56","02 01 2024","Schowalter - Quigley"
"300","57","02 01 2024","Beahan - Kuhlman"
"467","58","02 01 2024","Roberts - Hauck"
"35","59","02 01 2024","Mayert - Medhurst"
"77","60","02 01 2024","Pfeffer, Flatley and Kshlerin"
"26","61","02 01 2024","Kutch, Denesik and McGlynn"
"288","62","02 01 2024","Gutmann - Marvin"
"473","63","02 01 2024","Stoltenberg Group"
"47","64","02 01 2024","Nitzsche Group"
"173","65","02 01 2024","O'Connell - Price"
"125","66","02 01 2024","Schneider, Kuhic and Rutherford"
"345","67","02 01 2024","Mann Group"
"414","68","02 01 2024","Sporer, Gutmann and Haag"
"177","69","02 01 2024","Gleason - Schamberger"
"304","70","02 01 2024","Gutkowski, Berge and Heidenreich"
"468","71","02 01 2024","Hickle, Kessler and Herman"
"51","72","02 01 2024","Hoppe and Sons"
"39","73","02 01 2024","Ankunding, Ondricka and Smitham"
"454","74","02 01 2024","D'Amore LLC"
"70","75","02 01 2024","Hayes and Sons"
"270","76","02 01 2024","Simonis - Spinka"
"417","77","02 01 2024","Runolfsson - Vandervort"
"391","78","02 01 2024","Kovacek - Heidenreich"
"225","79","02 01 2024","Hansen Group"
"97","80","02 01 2024","Dicki, Osinski and Lubowitz"
"418","81","02 01 2024","Schmeler, Nikolaus and Dicki"
"373","82","02 01 2024","Watsica, Dicki and Zulauf"
"423","83","02 01 2024","Bernhard Group"
"242","84","02 01 2024","Schuppe, Farrell and Kuvalis"
"246","85","02 01 2024","Leffler - Kerluke"
"456","86","02 01 2024","Ebert - Schulist"
"414","87","02 01 2024","Grimes - Schuppe"
"16","88","02 01 2024","Stracke Inc"
"313","89","02 01 2024","Effertz, Mayer and Kuvalis"
"156","90","02 01 2024","Koepp and Sons"
"227","91","02 01 2024","Cremin LLC"
"254","92","02 01 2024","Bartoletti - Shanahan"
"164","93","02 01 2024","Weimann - Flatley"
"88","94","02 01 2024","Stanton - Kertzmann"
"30","95","02 01 2024","Greenholt, Collier and Abshire"
"260","96","02 01 2024","Leannon LLC"
"455","97","02 01 2024","Walter - Deckow"
"108","98","02 01 2024","Kuhn, Mosciski and Okuneva"
"393","99","02 01 2024","Breitenberg LLC"
"279","100","02 01 2024","Corwin Group"
"411","101","02 01 2024","Wilkinson, Ritchie and Harris"
"475","102","02 01 2024","Fritsch LLC"
"349","103","02 01 2024","Jones, Vandervort and Hagenes"
"326","104","02 01 2024","Connelly Group"
"150","105","02 01 2024","Bahringer - Schumm"
"218","106","02 01 2024","Buckridge - Haag"
"396","107","02 01 2024","Hudson, Emard and Toy"
"410","108","02 01 2024","Koelpin - Bernier"
"203","109","02 01 2024","Schimmel - Koepp"
"197","110","02 01 2024","Schroeder, McKenzie and Schaefer"
"249","111","02 01 2024","Frami, Kulas and McGlynn"
"187","112","02 01 2024","Toy - Swift"
"108","113","02 01 2024","Kulas, Bailey and Feest"
"223","114","02 01 2024","Stokes Inc"
"364","115","02 01 2024","Lockman, Bernier and Nolan"
"348","116","02 01 2024","Turcotte - Kemmer"
"10","117","02 01 2024","Littel, Wisoky and Tromp"
"470","118","02 01 2024","Leuschke Inc"
"240","119","02 01 2024","Considine, DuBuque and Renner"
"406","120","02 01 2024","Grant - Rodriguez"
"358","121","02 01 2024","Rogahn, Borer and Nikolaus"
"26","122","02 01 2024","Kozey - Kub"
"13","123","02 01 2024","Hayes Group"
"435","124","02 01 2024","Morissette - Daniel"
"104","125","02 01 2024","Smith Inc"
"169","126","02 01 2024","Jacobson, Pagac and Schroeder"
"250","127","02 01 2024","Beatty LLC"
"111","128","02 01 2024","Bradtke, Hermiston and Schaden"
"269","129","02 01 2024","Renner Inc"
"356","130","02 01 2024","Dicki, Walter and Gislason"
"309","131","02 01 2024","Reilly, Bosco and Schmitt"
"53","132","02 01 2024","Kihn, Schmitt and Ward"
"250","133","02 01 2024","West, Farrell and Homenick"
"1","134","02 01 2024","Wolf Inc"
"247","135","02 01 2024","Hane Inc"
"418","136","02 01 2024","Brakus and Sons"
"144","137","02 01 2024","Jenkins, O'Kon and Windler"
"245","138","02 01 2024","Collier, Stroman and McGlynn"
"119","139","02 01 2024","Franecki LLC"
"324","140","02 01 2024","Douglas, VonRueden and Fisher"
"142","141","02 01 2024","Balistreri Inc"
"185","142","02 01 2024","Hessel Group"
"110","143","02 01 2024","Runolfsson - Mohr"
"177","144","02 01 2024","Brown, Schimmel and Gleason"
"368","145","02 01 2024","DuBuque - Kuhic"
"94","146","02 01 2024","Doyle LLC"
"354","147","02 01 2024","McCullough LLC"
"70","148","02 01 2024","Sanford LLC"
"285","149","02 01 2024","Hamill Group"
"387","150","02 01 2024","Rice - Stehr"
"122","151","02 01 2024","Koepp, Veum and Terry"
"418","152","02 01 2024","Schmitt, Huel and Anderson"
"270","153","02 01 2024","Lehner Inc"
"468","154","02 01 2024","Reinger - Cole"
"359","155","02 01 2024","Lang, Quigley and Koss"
"138","156","02 01 2024","O'Kon - Jacobson"
"229","157","02 01 2024","Douglas, O'Keefe and Schmidt"
"333","158","02 01 2024","Gerhold - Pfannerstill"
"53","159","02 01 2024","Gusikowski - Wilderman"
"354","160","02 01 2024","Schumm - Spinka"
"197","161","02 01 2024","Breitenberg - Kunde"
"85","162","02 01 2024","Mueller Group"
"462","163","02 01 2024","Corwin - Ruecker"
"104","164","02 01 2024","Orn - Beer"
"252","165","02 01 2024","Bauch, Quigley and Hilpert"
"462","166","02 01 2024","Schimmel - Turcotte"
"305","167","02 01 2024","Mann, Wisoky and Strosin"
"124","168","02 01 2024","Torp Group"
"63","169","02 01 2024","Durgan Inc"
"227","170","02 01 2024","Hartmann and Sons"
"409","171","02 01 2024","Walker Group"
"444","172","02 01 2024","Hudson LLC"
"109","173","02 01 2024","D'Amore - Dach"
"480","174","02 01 2024","Lehner and Sons"
"122","175","02 01 2024","Jakubowski LLC"
"307","176","02 01 2024","Dickens LLC"
"254","177","02 01 2024","Ruecker Group"
"48","178","02 01 2024","Kling Group"
"197","179","02 01 2024","Streich Inc"
"312","180","02 01 2024","Shanahan, Zemlak and Jones"
"416","181","02 01 2024","Welch - Stanton"
"421","182","02 01 2024","Jaskolski - Glover"
"259","183","02 01 2024","Mayert Group"
"116","184","02 01 2024","Cartwright, Kohler and Lueilwitz"
"96","185","02 01 2024","Baumbach - Flatley"
"301","186","02 01 2024","Kshlerin - Nicolas"
