"1451","14 09 2022 12:22:28","6280"
"175","04 09 2022 12:43:39","4213"
"397","11 06 2023 02:20:45","5703"
"350","19 09 2022 11:04:22","552"
"849","14 01 2023 10:13:20","3899"
"1597","29 01 2023 07:25:18","5591"
"1092","24 06 2023 03:11:39","8601"
"23","15 02 2023 05:04:04","1175"
"1662","23 01 2023 08:03:07","6392"
"811","12 08 2023 09:45:43","6374"
"935","26 05 2023 05:09:02","7554"
"1692","12 02 2023 10:11:10","7594"
"1239","11 10 2023 07:12:18","7866"
"1263","15 08 2022 06:36:48","6395"
"1713","16 08 2022 06:22:53","7864"
"910","28 11 2023 01:18:53","5710"
"1974","30 11 2022 03:51:04","2333"
"1829","26 09 2022 02:06:04","6963"
"1259","30 01 2023 05:47:31","6069"
"166","22 09 2023 09:31:32","5306"
"512","26 09 2022 02:41:42","7782"
"1079","15 11 2022 03:38:28","4900"
"1808","31 07 2022 06:32:38","4875"
"836","26 07 2022 07:06:18","4330"
"1518","06 09 2023 11:07:52","8833"
"1853","20 08 2022 05:37:21","2118"
"736","21 03 2023 09:39:21","5075"
"1888","08 12 2022 06:03:51","1454"
"1967","29 12 2022 12:53:20","1404"
"592","27 05 2023 05:42:35","2064"
"1995","05 02 2023 09:00:00","109"
"1993","06 12 2022 11:21:06","5349"
"984","11 09 2023 06:18:59","2167"
"635","28 11 2023 01:32:15","3922"
"583","21 11 2022 11:27:19","1042"
"482","13 10 2022 03:29:23","7668"
"963","29 01 2023 01:53:32","8053"
"560","24 05 2023 05:07:30","3654"
"588","24 06 2023 10:11:53","5989"
"1026","03 11 2023 09:15:20","5742"
"106","15 07 2023 04:54:29","2269"
"283","31 10 2022 01:59:20","4409"
"400","09 12 2023 09:45:05","1252"
"71","31 10 2023 01:54:40","6751"
"1943","03 01 2023 02:29:04","4076"
"318","31 10 2023 02:43:30","6600"
"238","28 05 2023 03:46:01","2582"
"704","03 05 2023 10:36:12","5025"
"1785","16 03 2023 05:01:34","5897"
"340","06 07 2023 03:08:26","5920"
"37","19 10 2023 05:25:39","191"
"1221","01 03 2023 06:50:00","59"
"1333","03 12 2023 12:14:46","4078"
"885","29 06 2023 03:30:47","3186"
"1111","06 07 2023 03:34:59","5034"
"341","19 03 2023 03:50:42","3537"
"169","15 06 2023 03:59:31","6157"
"1203","25 11 2022 11:06:20","5508"
"1461","02 11 2022 12:34:29","8034"
"199","06 09 2022 04:04:59","8158"
"1592","18 10 2022 01:53:10","6012"
"230","18 08 2022 11:45:43","4793"
"534","15 07 2022 09:14:54","6912"
"1967","18 05 2023 04:04:50","4337"
"1721","01 05 2023 06:39:46","2923"
"850","14 11 2023 02:04:17","5650"
"811","02 09 2022 12:05:47","1499"
"1037","26 07 2022 06:41:44","7756"
"1456","08 10 2023 03:28:16","6043"
"1385","30 11 2022 08:31:13","8309"
"217","12 12 2023 09:40:29","3216"
"1566","20 11 2022 06:36:40","7161"
"1207","16 07 2023 11:14:24","2214"
"1402","28 09 2022 02:17:07","2127"
"565","04 08 2023 03:38:11","301"
"685","07 08 2023 06:50:34","7354"
"17","30 03 2023 09:06:02","5550"
"1211","12 08 2022 06:12:47","6987"
"1139","09 08 2022 10:29:40","7523"
"596","14 08 2023 03:06:24","7454"
"911","06 05 2023 09:04:44","6703"
"597","08 12 2022 10:43:03","1796"
"1033","30 09 2022 09:43:37","1072"
"960","11 03 2023 02:39:03","8310"
"304","28 03 2023 06:33:31","4866"
"23","10 07 2023 08:39:13","3413"
